date,Cartier_Global,Van Cleef & Arpels_Global,Cartier_TW,Van Cleef & Arpels_TW,Cartier_TW/Global_pct,VCA_TW/Global_pct,Cartier_MA4,VCA_MA4,Cartier_WoW_pct,VCA_WoW_pct,Cartier_roll_std4,VCA_roll_std4
2024-09-29,60,2,77,9,128.33333333333334,450.0,77.0,9.0,,,,
2024-10-06,62,2,98,12,158.06451612903226,600.0,87.5,10.5,27.27272727272727,33.33333333333333,14.849242404917497,2.1213203435596424
2024-10-13,62,2,85,15,137.09677419354838,750.0,86.66666666666667,12.0,-13.265306122448983,25.0,10.598742063723098,3.0
2024-10-20,63,2,82,16,130.15873015873015,800.0,85.5,13.0,-3.529411764705881,6.666666666666665,8.962886439832502,3.1622776601683795
2024-10-27,60,2,79,0,131.66666666666666,0.0,86.0,10.75,-3.658536585365857,-100.0,8.366600265340756,7.365459931328117
2024-11-03,59,1,81,8,137.28813559322032,800.0,81.75,9.75,2.5316455696202445,inf,2.5000000000000036,7.41057802513857
2024-11-10,63,2,79,10,125.39682539682539,500.0,80.25,8.5,-2.4691358024691357,25.0,1.5000000000000087,6.60807586719967
2024-11-17,63,2,86,13,136.5079365079365,650.0,81.25,7.75,8.860759493670889,30.000000000000004,3.304037933599838,5.560275772537426
2024-11-24,64,2,68,14,106.25,700.0,78.5,11.25,-20.93023255813954,7.692307692307687,7.593857166596346,2.75378527364305
2024-12-01,68,2,83,13,122.05882352941177,650.0,79.0,12.5,22.058823529411775,-7.14285714285714,7.874007874011812,1.7320508075688759
2024-12-08,70,2,93,10,132.85714285714286,500.0,82.5,12.5,12.04819277108433,-23.076923076923073,10.53565375285274,1.7320508075688759
2024-12-15,71,2,93,10,130.98591549295776,500.0,84.25,11.75,0.0,0.0,11.814539065631521,2.0615528128088294
2024-12-22,100,2,88,19,88.0,950.0,89.25,13.0,-5.376344086021501,89.99999999999999,4.78713553878169,4.242640687119285
2024-12-29,85,2,91,12,107.05882352941177,600.0,91.25,12.75,3.409090909090917,-36.8421052631579,2.3629078131263044,4.272001872658765
2025-01-05,67,2,76,13,113.43283582089552,650.0,87.0,13.5,-16.483516483516482,8.333333333333325,7.6157731058639095,3.8729833462074166
2025-01-12,66,1,78,14,118.18181818181819,1400.0,83.25,14.5,2.6315789473684292,7.692307692307687,7.365459931328119,3.1091263510296048
2025-01-19,61,1,79,15,129.5081967213115,1500.0,81.0,13.5,1.2820512820512775,7.14285714285714,6.78232998312527,1.2909944487358047
2025-01-26,62,2,100,22,161.29032258064515,1100.0,83.25,16.0,26.582278481012665,46.66666666666666,11.236102527122117,4.0824829046386295
2025-02-02,64,2,68,12,106.25,600.0,81.25,15.75,-31.999999999999996,-45.45454545454546,13.450526631573453,4.349329450233296
2025-02-09,65,2,90,12,138.46153846153845,600.0,84.25,15.25,32.35294117647059,0.0,13.817259737975064,4.716990566028302
2025-02-16,63,2,82,12,130.15873015873015,600.0,85.0,14.5,-8.888888888888891,0.0,13.51542328847553,5.0
2025-02-23,58,2,59,11,101.72413793103448,550.0,74.75,11.75,-28.04878048780488,-8.333333333333337,13.889444433333779,0.5
2025-03-02,59,1,76,7,128.81355932203388,700.0,76.75,10.5,28.81355932203389,-36.36363636363637,13.149778198382919,2.3804761428476167
2025-03-09,57,2,85,9,149.12280701754386,450.0,75.5,9.75,11.842105263157897,28.57142857142858,11.618950038622252,2.217355782608345
2025-03-16,62,2,78,14,125.80645161290323,700.0,74.5,10.25,-8.235294117647063,55.55555555555556,11.030261405182866,2.9860788111948193
2025-03-23,63,2,74,11,117.46031746031747,550.0,78.25,10.25,-5.128205128205132,-21.42857142857143,4.787135538781692,2.9860788111948193
2025-03-30,67,2,92,12,137.3134328358209,600.0,82.25,11.5,24.32432432432432,9.090909090909083,7.932002689527197,2.0816659994661326
2025-04-06,63,1,76,7,120.63492063492063,700.0,80.0,11.0,-17.391304347826086,-41.666666666666664,8.16496580927726,2.943920288775949
2025-04-13,67,1,68,8,101.49253731343283,800.0,77.5,9.5,-10.526315789473683,14.28571428571428,10.2469507659596,2.380476142847616
2025-04-20,65,2,87,12,133.84615384615384,600.0,80.75,9.75,27.941176470588225,50.0,10.812801055539063,2.629955639676583
2025-04-27,64,1,96,12,150.0,1200.0,81.75,9.75,10.344827586206895,0.0,12.284814474246922,2.629955639676583
2025-05-04,65,1,99,10,152.3076923076923,1000.0,87.5,10.5,3.125,-16.666666666666664,13.96424004376894,1.914854215512676
2025-05-11,68,1,81,7,119.11764705882352,700.0,90.75,10.25,-18.181818181818176,-30.000000000000004,8.26135582092915,2.362907813126304
2025-05-18,66,1,76,7,115.15151515151516,700.0,88.0,9.0,-6.172839506172845,0.0,11.224972160321823,2.4494897427831774
2025-05-25,67,1,75,15,111.94029850746267,1500.0,82.75,9.75,-1.3157894736842146,114.28571428571428,11.146748404803974,3.7749172176353745
2025-06-01,68,1,78,7,114.70588235294117,700.0,77.5,9.0,4.0000000000000036,-53.333333333333336,2.645751311064574,3.999999999999999
2025-06-08,68,1,78,8,114.70588235294117,800.0,76.75,9.25,0.0,14.28571428571428,1.4999999999999696,3.862210075418822
2025-06-15,64,1,71,7,110.9375,700.0,75.5,9.25,-8.974358974358976,-12.5,3.316624790355386,3.862210075418822
2025-06-22,62,1,66,12,106.4516129032258,1200.0,73.25,8.5,-7.042253521126762,71.42857142857142,5.852349955359806,2.380476142847616
